Trial,Timestep,"ESG.Assets.EquityAssets.E_GBP.Sigma.StandardisedVolatility"
80,8,0.257414627332586,
80,9,0.242361634371462,
80,10,0.18427994421459,
81,0,0.109142808879906,
81,1,0.133643183285281,
81,2,0.171104630634142,
81,3,0.167290358865008,
81,4,0.216567427795328,
81,5,0.16543364360803,
81,6,0.122969819811155,
81,7,0.110599246160414,
81,8,0.104931878853203,
81,9,0.0977646160246344,
81,10,0.19694469241306,
82,0,0.109142808879906,
82,1,0.11560277241047,
82,2,0.153926160806531,
82,3,0.121228630664385,
82,4,0.155525638458153,
82,5,0.209452427272837,
82,6,0.299695021101096,
82,7,0.287075710133622,
82,8,0.349185874323718,
82,9,0.416969089496045,
82,10,0.295387225184886,
83,0,0.109142808879906,
83,1,0.10144293029211,
83,2,0.137492435043218,
83,3,0.148544758595733,
83,4,0.218443299897438,
83,5,0.368021493727233,
83,6,0.364575099330365,
83,7,0.345422455343685,
83,8,0.307021678601784,
83,9,0.303409505675327,
83,10,0.232756494228655,
84,0,0.109142808879906,
84,1,0.144925429265443,
84,2,0.164870806772011,
84,3,0.143888836914329,
84,4,0.217554787249829,
84,5,0.0772436572461236,
84,6,0.102900543185411,
84,7,0.0997990913180634,
84,8,0.119805094896497,
84,9,0.168968766246306,
84,10,0.173156598598193,
85,0,0.109142808879906,
85,1,0.0922741666242077,
85,2,0.0418310394822679,
85,3,0.0687375702858176,
85,4,0.0800874403362553,
85,5,0.199035362890749,
85,6,0.164384298369477,
85,7,0.192056178681503,
85,8,0.102139440621559,
85,9,0.109055189087227,
85,10,0.070530616008871,
86,0,0.109142808879906,
86,1,0.21012747032895,
86,2,0.290802337046166,
86,3,0.362516935633856,
86,4,0.409761149431808,
86,5,0.357103918287445,
86,6,0.304007893759524,
86,7,0.328174054534227,
86,8,0.297671845542662,
86,9,0.397211100665041,
86,10,0.518864057245169,
87,0,0.109142808879906,
87,1,0.110174974489185,
87,2,0.155952938634782,
87,3,0.159554844337877,
87,4,0.241982149337458,
87,5,0.297634096639031,
87,6,0.329147230209498,
87,7,0.393471961447874,
87,8,0.314659384545604,
87,9,0.387788919606497,
87,10,0.39774677380353,
88,0,0.109142808879906,
88,1,0.146619406133108,
88,2,0.173214054841975,
88,3,0.17474092532287,
88,4,0.0952727513224377,
88,5,0.0535666809967346,
88,6,0.0589687722580723,
88,7,0.0768149673074607,
88,8,0.16476654225585,
88,9,0.185596872825954,
88,10,0.105126060187604,
89,0,0.109142808879906,
89,1,0.119743535408741,
89,2,0.0836302031768613,
89,3,0.119243146362099,
89,4,0.263681774571292,
89,5,0.314516249636653,
89,6,0.382983803469625,
89,7,0.287558517348663,
89,8,0.130332280086856,
89,9,0.0539064481927441,
89,10,0.110017162000075,
90,0,0.109142808879906,
90,1,0.152805845498558,
90,2,0.206955593963778,
90,3,0.158049341209968,
90,4,0.0933096053451875,
90,5,0.0801657743936618,
90,6,0.0795380636657096,
90,7,0.175340748084621,
90,8,0.384129330206553,
90,9,0.474195855428721,
90,10,0.333414966911895,
91,0,0.109142808879906,
91,1,0.167210979591389,
91,2,0.33514611449596,
91,3,0.326234715613066,
91,4,0.270009838700092,
91,5,0.30036012653369,
91,6,0.346201240666978,
91,7,0.288029325869148,
91,8,0.321893326671833,
91,9,0.240178022347272,
91,10,0.182789379162721,
92,0,0.109142808879906,
92,1,0.0828781823444949,
92,2,0.0567913449776346,
92,3,0.0648260437303563,
92,4,0.157688363810363,
92,5,0.0954741368382601,
92,6,0.0459591589880699,
92,7,0.114700079107382,
92,8,0.134226177917645,
92,9,0.219631986274935,
92,10,0.245501794265397,
93,0,0.109142808879906,
93,1,0.0634846884709191,
